categoria,faixa_etaria,vacina,doencas_evitadas,observacoes
IDOSO,A partir dos 60 anos,"Vacina tríplice viral SCR (2 doses, conforme histórico vacinal)","sarampo, caxumba, rubéola, e síndrome da rubéola congênita (futuramente, na gravidez)",
IDOSO,A partir dos 60 anos,"Vacina pneumocócica 23-valente (2 doses, conforme histórico vacinal)",doenças pneumocócicas invasivas pelos sorogrupos contidos na vacina,Somente para idosos acamados e/ou institucionalizados sem esquema vacinal completo e povos indígenas sem histórico vacinal com pneumocócica conjugada. Uma segunda dose deve ser administrada com intervalo de 5 anos após a 1ª dose.
IDOSO,A partir dos 60 anos,"Vacina varicela (2 doses, conforme histórico vacinal)",varicela (catapora),"Somente povos indígenas e trabalhadores de saúde, sem histórico da doença. A vacinação deve ser precedida por avaliação do risco benefício caso a caso, considerando-se as condições clínicas de cada indivíduo e atenção às contraindicações previstas."
IDOSO,A partir dos 60 anos,Vacina influenza trivalente (1 dose anual com a vacina da temporada),gripe (influenza),
IDOSO,A partir dos 60 anos,Vacina covid-19 (1 dose semestral),"formas graves e óbitos causados pelo vírus, SARS-CoV-2",
GESTANTE,Ao saber da gravidez,"Vacina hepatite B (3 doses, conforme histórico vacinal)","hepatite B, e, hepatite D",
GESTANTE,Ao saber da gravidez,"Vacina dT (3 doses, conforme histórico vacinal)","difteria, e, tétano",
GESTANTE,Ao saber da gravidez,Vacina influenza trivalente (1 dose por temporada),gripe (influenza),
GESTANTE,Ao saber da gravidez,Vacina covid-19 (1 dose a cada gestação),"formas graves e óbitos causados pelo vírus, SARS-CoV-2",
GESTANTE,Ao saber da gravidez,"Vacina febre amarela (1 dose, em casos excepcionais, conforme histórico vacinal)",febre amarela,"Somente se considera a vacinação contra febre amarela para gestantes em caso de residente ou viajante para área de risco epidemiológico e mediante avaliação do serviço de saúde sobre o risco benefício da vacinação. Neste contexto, recomenda-se 1 dose para aquelas sem comprovação vacinal, para as vacinadas antes dos 5 anos de idade e para as que receberam apenas dose fracionada (em 2018). Em caso de viajantes, é de 10 dias o prazo mínimo para a vacinação antes da viagem, tendo em vista o tempo necessário à soroconversão."
GESTANTE,A partir da 20ª semana gestacional,"Vacina dTpa (1 dose a partir da 20ª semana gestacional, em cada gestação)","difteria, ,, tétano, e, coqueluche",A gestante vacinada protege o bebê contra estas doenças graves nos primeiros dias de vida
GESTANTE,A partir da 28ª semana gestacional,"Vacina Vírus Sincicial Respiratório (VVSR) (1 dose a partir da 28ª semana gestacional, em cada gestação)","bronquiolite, , pneumonia e outras complicações na criança",A gestante vacinada protege o bebê contra estas doenças graves nos primeiros dias de vida
